,코드,요양기관소재지구분,환자수,총사용량,진료금액,년도
2,C8060,계,973,"1,083","48,578",2010년
3,C8060,서울,490,541,"24,788",2010년
4,C8060,부산,51,55,"2,500",2010년
5,C8060,인천,20,21,"1,021",2010년
6,C8060,대구,72,78,"3,414",2010년
7,C8060,광주,3,3,135,2010년
8,C8060,대전,28,30,"1,304",2010년
9,C8060,울산,13,14,569,2010년
10,C8060,경기,205,233,"10,021",2010년
11,C8060,강원,15,18,875,2010년
12,C8060,충북,11,11,534,2010년
13,C8060,충남,11,12,548,2010년
14,C8060,전북,2,2,86,2010년
15,C8060,전남,4,4,182,2010년
16,C8060,경북,27,32,"1,374",2010년
17,C8060,경남,21,24,"1,055",2010년
18,C8060,제주,3,4,172,2010년
19,C8060,세종,-,-,-,2010년
2,C8060,계,903,"1,038","46,390",2011년
3,C8060,서울,426,496,"22,415",2011년
4,C8060,부산,53,58,"2,671",2011년
5,C8060,인천,22,27,"1,228",2011년
6,C8060,대구,75,86,"3,884",2011년
7,C8060,광주,2,2,86,2011년
8,C8060,대전,23,28,"1,251",2011년
9,C8060,울산,13,15,645,2011년
10,C8060,경기,208,227,"9,736",2011년
11,C8060,강원,18,19,877,2011년
12,C8060,충북,16,16,771,2011년
13,C8060,충남,10,10,477,2011년
14,C8060,전북,2,3,139,2011년
15,C8060,전남,1,1,48,2011년
16,C8060,경북,22,30,"1,302",2011년
17,C8060,경남,13,13,557,2011년
18,C8060,제주,7,7,304,2011년
19,C8060,세종,-,-,-,2011년
2,C8060,계,948,"1,050","46,885",2012년
3,C8060,서울,465,511,"22,916",2012년
4,C8060,부산,81,84,"3,930",2012년
5,C8060,인천,25,27,"1,164",2012년
6,C8060,대구,55,61,"2,811",2012년
7,C8060,광주,5,6,279,2012년
8,C8060,대전,22,25,"1,114",2012년
9,C8060,울산,18,19,754,2012년
10,C8060,경기,196,224,"9,674",2012년
11,C8060,강원,14,14,641,2012년
12,C8060,충북,15,16,766,2012년
13,C8060,충남,9,9,443,2012년
14,C8060,전북,3,3,138,2012년
15,C8060,전남,2,2,75,2012년
16,C8060,경북,23,30,"1,379",2012년
17,C8060,경남,12,12,521,2012년
18,C8060,제주,5,6,280,2012년
19,C8060,세종,-,-,-,2012년
2,C8060,계,"1,157","1,334","60,526",2013년
3,C8060,서울,555,644,"29,132",2013년
4,C8060,부산,92,107,"5,241",2013년
5,C8060,인천,26,32,"1,390",2013년
6,C8060,대구,74,84,"3,933",2013년
7,C8060,광주,2,2,100,2013년
8,C8060,대전,47,50,"2,162",2013년
9,C8060,울산,18,18,743,2013년
10,C8060,경기,241,272,"12,037",2013년
11,C8060,강원,12,12,552,2013년
12,C8060,충북,18,19,965,2013년
13,C8060,충남,14,19,863,2013년
14,C8060,전북,1,1,50,2013년
15,C8060,전남,5,5,212,2013년
16,C8060,경북,25,36,"1,602",2013년
17,C8060,경남,16,20,909,2013년
18,C8060,제주,13,13,634,2013년
19,C8060,세종,-,-,-,2013년
2,C8060,계,"1,127","1,280","63,903",2014년
3,C8060,서울,612,680,"34,413",2014년
4,C8060,부산,97,103,"5,532",2014년
5,C8060,인천,24,28,"1,349",2014년
6,C8060,대구,69,80,"4,092",2014년
7,C8060,광주,3,3,160,2014년
8,C8060,대전,23,24,"1,278",2014년
9,C8060,울산,19,22,"1,122",2014년
10,C8060,경기,169,212,"9,523",2014년
11,C8060,강원,14,15,725,2014년
12,C8060,충북,24,26,"1,370",2014년
13,C8060,충남,18,21,977,2014년
14,C8060,전북,1,2,132,2014년
15,C8060,전남,7,7,312,2014년
16,C8060,경북,26,33,"1,681",2014년
17,C8060,경남,12,13,655,2014년
18,C8060,제주,11,11,581,2014년
19,C8060,세종,-,-,-,2014년
2,C8060,계,"1,169","1,296","77,889",2015년
3,C8060,서울,517,584,"34,833",2015년
4,C8060,부산,88,96,"6,022",2015년
5,C8060,인천,48,54,"3,132",2015년
6,C8060,대구,72,77,"4,717",2015년
7,C8060,광주,8,8,512,2015년
8,C8060,대전,62,65,"4,164",2015년
9,C8060,울산,33,35,"2,228",2015년
10,C8060,경기,223,252,"14,702",2015년
11,C8060,강원,21,22,"1,351",2015년
12,C8060,충북,9,9,571,2015년
13,C8060,충남,22,23,"1,341",2015년
14,C8060,전북,1,1,52,2015년
15,C8060,전남,8,9,512,2015년
16,C8060,경북,37,39,"2,380",2015년
17,C8060,경남,15,15,928,2015년
18,C8060,제주,7,7,446,2015년
19,C8060,세종,-,-,-,2015년
2,C8060,계,"1,378","1,531","100,517",2016년
3,C8060,서울,609,671,"43,909",2016년
4,C8060,부산,108,120,"8,058",2016년
5,C8060,인천,41,46,"2,938",2016년
6,C8060,대구,102,122,"8,203",2016년
7,C8060,광주,8,8,541,2016년
8,C8060,대전,70,77,"5,264",2016년
9,C8060,울산,42,46,"2,687",2016년
10,C8060,경기,224,249,"15,664",2016년
11,C8060,강원,38,42,"3,262",2016년
12,C8060,충북,21,24,"1,725",2016년
13,C8060,충남,32,38,"2,521",2016년
14,C8060,전북,4,4,206,2016년
15,C8060,전남,5,5,343,2016년
16,C8060,경북,33,34,"2,271",2016년
17,C8060,경남,30,32,"1,950",2016년
18,C8060,제주,13,14,976,2016년
19,C8060,세종,-,-,-,2016년
2,C8060,계,"1,506","1,710","124,030",2017년
3,C8060,서울,655,744,"53,703",2017년
4,C8060,부산,109,129,"9,227",2017년
5,C8060,인천,44,52,"3,860",2017년
6,C8060,대구,105,114,"8,485",2017년
7,C8060,광주,9,10,732,2017년
8,C8060,대전,85,88,"6,670",2017년
9,C8060,울산,28,31,"2,217",2017년
10,C8060,경기,260,295,"20,715",2017년
11,C8060,강원,46,55,"4,644",2017년
12,C8060,충북,24,27,"1,922",2017년
13,C8060,충남,36,38,"2,600",2017년
14,C8060,전북,6,6,396,2017년
15,C8060,전남,4,5,322,2017년
16,C8060,경북,30,31,"2,192",2017년
17,C8060,경남,53,59,"4,461",2017년
18,C8060,제주,21,26,"1,884",2017년
19,C8060,세종,-,-,-,2017년
2,C8060,계,"1,514","1,700","195,322",2018년
3,C8060,서울,684,762,"86,721",2018년
4,C8060,부산,91,98,"11,709",2018년
5,C8060,인천,66,76,"8,381",2018년
6,C8060,대구,93,106,"12,316",2018년
7,C8060,광주,10,11,"1,223",2018년
8,C8060,대전,74,84,"10,431",2018년
9,C8060,울산,25,25,"2,536",2018년
10,C8060,경기,259,291,"32,599",2018년
11,C8060,강원,58,70,"9,009",2018년
12,C8060,충북,23,23,"2,753",2018년
13,C8060,충남,22,26,"2,878",2018년
14,C8060,전북,1,1,119,2018년
15,C8060,전남,1,1,124,2018년
16,C8060,경북,26,30,"3,766",2018년
17,C8060,경남,57,66,"7,279",2018년
18,C8060,제주,30,30,"3,476",2018년
19,C8060,세종,-,-,-,2018년
2,C8060,계,"1,590","1,865","252,169",2019년
3,C8060,서울,679,816,"108,832",2019년
4,C8060,부산,102,108,"14,997",2019년
5,C8060,인천,55,78,"9,162",2019년
6,C8060,대구,102,114,"16,613",2019년
7,C8060,광주,8,8,"1,147",2019년
8,C8060,대전,76,82,"12,653",2019년
9,C8060,울산,43,48,"6,092",2019년
10,C8060,경기,259,312,"39,985",2019년
11,C8060,강원,67,76,"11,031",2019년
12,C8060,충북,38,40,"6,000",2019년
13,C8060,충남,41,44,"6,248",2019년
14,C8060,전북,3,3,534,2019년
15,C8060,전남,2,2,270,2019년
16,C8060,경북,40,42,"6,310",2019년
17,C8060,경남,65,75,"9,987",2019년
18,C8060,제주,16,16,"2,310",2019년
19,C8060,세종,-,-,-,2019년
2,C8060,계,"1,668","2,042","318,245",2020년
3,C8060,서울,711,904,"142,361",2020년
4,C8060,부산,110,124,"20,816",2020년
5,C8060,인천,75,94,"12,402",2020년
6,C8060,대구,104,116,"19,691",2020년
7,C8060,광주,5,5,776,2020년
8,C8060,대전,78,81,"14,371",2020년
9,C8060,울산,37,38,"6,009",2020년
10,C8060,경기,309,398,"55,435",2020년
11,C8060,강원,65,70,"11,221",2020년
12,C8060,충북,32,36,"6,293",2020년
13,C8060,충남,24,28,"5,123",2020년
14,C8060,전북,9,10,"1,686",2020년
15,C8060,전남,1,1,143,2020년
16,C8060,경북,38,40,"6,751",2020년
17,C8060,경남,52,68,"10,566",2020년
18,C8060,제주,22,25,"4,270",2020년
19,C8060,세종,2,2,333,2020년
2,C8060,계,"1,789","2,272","348,777",2021년
3,C8060,서울,706,930,"142,002",2021년
4,C8060,부산,135,151,"25,491",2021년
5,C8060,인천,66,89,"11,926",2021년
6,C8060,대구,101,120,"21,004",2021년
7,C8060,광주,11,11,"1,889",2021년
8,C8060,대전,63,69,"11,465",2021년
9,C8060,울산,48,50,"8,542",2021년
10,C8060,경기,364,473,"68,306",2021년
11,C8060,강원,67,88,"12,886",2021년
12,C8060,충북,41,44,"7,381",2021년
13,C8060,충남,36,47,"8,415",2021년
14,C8060,전북,4,4,668,2021년
15,C8060,전남,3,3,445,2021년
16,C8060,경북,37,51,"6,659",2021년
17,C8060,경남,78,104,"14,806",2021년
18,C8060,제주,22,25,"4,229",2021년
19,C8060,세종,12,13,"2,665",2021년
2,C8514,계,91,94,"6,414",2010년
3,C8514,서울,32,34,"2,361",2010년
4,C8514,부산,4,4,271,2010년
5,C8514,인천,1,1,72,2010년
6,C8514,대구,2,2,137,2010년
7,C8514,광주,3,3,205,2010년
8,C8514,대전,2,2,131,2010년
9,C8514,울산,1,1,66,2010년
10,C8514,경기,6,7,472,2010년
11,C8514,강원,29,29,"1,940",2010년
12,C8514,충북,-,-,-,2010년
13,C8514,충남,1,1,78,2010년
14,C8514,전북,1,1,63,2010년
15,C8514,전남,-,-,-,2010년
16,C8514,경남,9,9,618,2010년
2,C8514,계,76,81,"5,028",2011년
3,C8514,서울,27,27,"1,736",2011년
4,C8514,부산,1,1,63,2011년
5,C8514,인천,1,1,58,2011년
6,C8514,대구,1,1,68,2011년
7,C8514,광주,3,2,160,2011년
8,C8514,대전,-,-,-,2011년
9,C8514,울산,1,1,61,2011년
10,C8514,경기,6,9,480,2011년
11,C8514,강원,8,8,492,2011년
12,C8514,충북,1,1,58,2011년
13,C8514,충남,-,-,-,2011년
14,C8514,전북,1,1,63,2011년
15,C8514,전남,4,4,238,2011년
16,C8514,경남,22,24,"1,550",2011년
2,C8514,계,66,87,"4,990",2012년
3,C8514,서울,23,36,"2,222",2012년
4,C8514,부산,7,7,414,2012년
5,C8514,인천,3,3,183,2012년
6,C8514,대구,-,-,-,2012년
7,C8514,광주,4,4,242,2012년
8,C8514,대전,2,2,121,2012년
9,C8514,울산,-,-,-,2012년
10,C8514,경기,6,10,352,2012년
11,C8514,강원,9,11,629,2012년
12,C8514,충북,1,1,58,2012년
13,C8514,충남,-,-,-,2012년
14,C8514,전북,1,1,52,2012년
15,C8514,전남,-,-,-,2012년
16,C8514,경남,10,12,718,2012년
2,C8514,계,70,76,"4,529",2013년
3,C8514,서울,21,24,"1,462",2013년
4,C8514,부산,2,2,117,2013년
5,C8514,인천,-,-,-,2013년
6,C8514,대구,-,-,-,2013년
7,C8514,광주,9,9,546,2013년
8,C8514,대전,1,1,60,2013년
9,C8514,울산,-,-,-,2013년
10,C8514,경기,6,7,344,2013년
11,C8514,강원,6,6,351,2013년
12,C8514,충북,-,-,-,2013년
13,C8514,충남,-,-,-,2013년
14,C8514,전북,-,-,-,2013년
15,C8514,전남,1,1,59,2013년
16,C8514,경남,24,26,"1,590",2013년
2,C8514,계,84,97,"6,362",2014년
3,C8514,서울,21,22,"1,554",2014년
4,C8514,부산,1,1,62,2014년
5,C8514,인천,1,1,61,2014년
6,C8514,대구,1,1,61,2014년
7,C8514,광주,10,10,619,2014년
8,C8514,대전,2,2,152,2014년
9,C8514,울산,-,-,-,2014년
10,C8514,경기,7,16,861,2014년
11,C8514,강원,7,8,506,2014년
12,C8514,충북,1,1,60,2014년
13,C8514,충남,-,-,-,2014년
14,C8514,전북,1,1,61,2014년
15,C8514,전남,1,1,60,2014년
16,C8514,경남,31,33,"2,305",2014년
2,C8514,계,78,88,"6,753",2015년
3,C8514,서울,16,18,"1,389",2015년
4,C8514,부산,2,2,155,2015년
5,C8514,인천,-,-,-,2015년
6,C8514,대구,-,-,-,2015년
7,C8514,광주,1,1,79,2015년
8,C8514,대전,1,1,79,2015년
9,C8514,울산,2,2,155,2015년
10,C8514,경기,18,23,"1,743",2015년
11,C8514,강원,9,10,720,2015년
12,C8514,충북,-,-,-,2015년
13,C8514,충남,-,-,-,2015년
14,C8514,전북,-,-,-,2015년
15,C8514,전남,-,-,-,2015년
16,C8514,경남,29,31,"2,433",2015년
2,C8514,계,77,87,"6,669",2016년
3,C8514,서울,17,17,"1,399",2016년
4,C8514,부산,1,1,80,2016년
5,C8514,인천,-,-,-,2016년
6,C8514,대구,-,-,-,2016년
7,C8514,광주,1,1,80,2016년
8,C8514,대전,-,-,-,2016년
9,C8514,울산,1,1,80,2016년
10,C8514,경기,5,8,385,2016년
11,C8514,강원,18,20,"1,537",2016년
12,C8514,충북,-,-,-,2016년
13,C8514,충남,-,-,-,2016년
14,C8514,전북,-,-,-,2016년
15,C8514,전남,-,-,-,2016년
16,C8514,경남,34,39,"3,107",2016년
2,C8514,계,39,43,"3,619",2017년
3,C8514,서울,11,12,"1,190",2017년
4,C8514,부산,1,1,82,2017년
5,C8514,인천,1,1,75,2017년
6,C8514,대구,-,-,-,2017년
7,C8514,광주,1,1,93,2017년
8,C8514,대전,-,-,-,2017년
9,C8514,울산,-,-,-,2017년
10,C8514,경기,7,9,569,2017년
11,C8514,강원,13,14,"1,192",2017년
12,C8514,충북,-,-,-,2017년
13,C8514,충남,-,-,-,2017년
14,C8514,전북,-,-,-,2017년
15,C8514,전남,-,-,-,2017년
16,C8514,경남,5,5,417,2017년
2,C8514,계,38,62,"7,596",2018년
3,C8514,서울,8,8,998,2018년
4,C8514,부산,1,1,129,2018년
5,C8514,인천,-,-,-,2018년
6,C8514,대구,-,-,-,2018년
7,C8514,광주,-,-,-,2018년
8,C8514,대전,1,1,129,2018년
9,C8514,울산,1,1,124,2018년
10,C8514,경기,8,30,"3,826",2018년
11,C8514,강원,15,16,"1,919",2018년
12,C8514,충북,-,-,-,2018년
13,C8514,충남,-,-,-,2018년
14,C8514,전북,-,-,-,2018년
15,C8514,전남,-,-,-,2018년
16,C8514,경남,4,4,473,2018년
2,C8514,계,43,63,"8,745",2019년
3,C8514,서울,20,23,"3,714",2019년
4,C8514,부산,6,7,981,2019년
5,C8514,인천,-,-,-,2019년
6,C8514,대구,-,-,-,2019년
7,C8514,광주,2,2,277,2019년
8,C8514,대전,-,-,-,2019년
9,C8514,울산,4,7,552,2019년
10,C8514,경기,8,21,"2,720",2019년
11,C8514,강원,1,1,143,2019년
12,C8514,충북,1,1,210,2019년
13,C8514,충남,-,-,-,2019년
14,C8514,전북,-,-,-,2019년
15,C8514,전남,-,-,-,2019년
16,C8514,경남,1,1,148,2019년
2,C8514,계,51,62,"8,907",2020년
3,C8514,서울,12,13,"1,988",2020년
4,C8514,부산,23,24,"3,623",2020년
5,C8514,인천,2,2,310,2020년
6,C8514,대구,-,-,-,2020년
7,C8514,광주,-,-,-,2020년
8,C8514,대전,-,-,-,2020년
9,C8514,울산,1,1,160,2020년
10,C8514,경기,11,20,"2,490",2020년
11,C8514,강원,1,1,167,2020년
12,C8514,충북,-,-,-,2020년
13,C8514,충남,-,-,-,2020년
14,C8514,전북,-,-,-,2020년
15,C8514,전남,-,-,-,2020년
16,C8514,경남,1,1,168,2020년
2,C8514,계,21,27,"3,610",2021년
3,C8514,서울,4,4,683,2021년
4,C8514,부산,7,7,"1,126",2021년
5,C8514,인천,-,-,-,2021년
6,C8514,대구,-,-,-,2021년
7,C8514,광주,-,-,-,2021년
8,C8514,대전,-,-,-,2021년
9,C8514,울산,2,3,328,2021년
10,C8514,경기,5,9,827,2021년
11,C8514,강원,2,2,332,2021년
12,C8514,충북,-,-,-,2021년
13,C8514,충남,-,-,-,2021년
14,C8514,전북,1,2,315,2021년
15,C8514,전남,-,-,-,2021년
16,C8514,경남,-,-,-,2021년
2,CZ976,계,148,221,"78,171",2014년
3,CZ976,서울,127,196,"69,412",2014년
4,CZ976,부산,5,5,"1,744",2014년
5,CZ976,인천,1,1,354,2014년
6,CZ976,대구,3,3,"1,063",2014년
7,CZ976,광주,2,2,708,2014년
8,CZ976,대전,-,-,-,2014년
9,CZ976,경기,8,11,"3,855",2014년
10,CZ976,강원,-,-,-,2014년
11,CZ976,충북,-,-,-,2014년
12,CZ976,충남,-,-,-,2014년
13,CZ976,전북,1,1,354,2014년
14,CZ976,전남,-,-,-,2014년
15,CZ976,경북,-,-,-,2014년
16,CZ976,경남,1,2,681,2014년
17,CZ976,제주,-,-,-,2014년
2,CZ976,계,312,594,"214,726",2015년
3,CZ976,서울,255,519,"187,744",2015년
4,CZ976,부산,9,12,"4,318",2015년
5,CZ976,인천,4,4,"1,435",2015년
6,CZ976,대구,7,7,"2,516",2015년
7,CZ976,광주,7,7,"2,516",2015년
8,CZ976,대전,-,-,-,2015년
9,CZ976,경기,27,38,"13,653",2015년
10,CZ976,강원,-,-,-,2015년
11,CZ976,충북,-,-,-,2015년
12,CZ976,충남,1,1,354,2015년
13,CZ976,전북,-,-,-,2015년
14,CZ976,전남,-,-,-,2015년
15,CZ976,경북,-,-,-,2015년
16,CZ976,경남,3,6,"2,189",2015년
17,CZ976,제주,-,-,-,2015년
2,CZ976,계,413,834,"304,827",2016년
3,CZ976,서울,326,732,"267,647",2016년
4,CZ976,부산,16,17,"6,175",2016년
5,CZ976,인천,1,1,366,2016년
6,CZ976,대구,11,11,"4,016",2016년
7,CZ976,광주,11,11,"4,021",2016년
8,CZ976,대전,1,1,351,2016년
9,CZ976,경기,31,38,"13,828",2016년
10,CZ976,강원,1,2,731,2016년
11,CZ976,충북,1,1,351,2016년
12,CZ976,충남,-,-,-,2016년
13,CZ976,전북,1,1,366,2016년
14,CZ976,전남,-,-,-,2016년
15,CZ976,경북,1,1,347,2016년
16,CZ976,경남,13,18,"6,628",2016년
17,CZ976,제주,-,-,-,2016년
2,CZ976,계,486,904,"335,961",2017년
3,CZ976,서울,347,724,"269,346",2017년
4,CZ976,부산,9,10,"3,715",2017년
5,CZ976,인천,13,18,"6,536",2017년
6,CZ976,대구,14,14,"5,204",2017년
7,CZ976,광주,29,29,"10,761",2017년
8,CZ976,대전,5,5,"1,783",2017년
9,CZ976,경기,48,70,"25,894",2017년
10,CZ976,강원,1,1,366,2017년
11,CZ976,충북,-,-,-,2017년
12,CZ976,충남,-,-,-,2017년
13,CZ976,전북,2,2,738,2017년
14,CZ976,전남,-,-,-,2017년
15,CZ976,경북,-,-,-,2017년
16,CZ976,경남,23,31,"11,618",2017년
17,CZ976,제주,-,-,-,2017년
2,CZ976,계,610,"1,072","404,840",2018년
3,CZ976,서울,410,784,"296,374",2018년
4,CZ976,부산,21,28,"10,564",2018년
5,CZ976,인천,14,25,"9,182",2018년
6,CZ976,대구,31,38,"14,348",2018년
7,CZ976,광주,31,35,"13,219",2018년
8,CZ976,대전,1,1,364,2018년
9,CZ976,경기,72,119,"44,457",2018년
10,CZ976,강원,-,-,-,2018년
11,CZ976,충북,1,1,364,2018년
12,CZ976,충남,1,1,372,2018년
13,CZ976,전북,3,3,"1,135",2018년
14,CZ976,전남,-,-,-,2018년
15,CZ976,경북,-,-,-,2018년
16,CZ976,경남,29,38,"14,461",2018년
17,CZ976,제주,-,-,-,2018년
2,CZ976,계,649,"1,107","425,875",2019년
3,CZ976,서울,406,756,"290,867",2019년
4,CZ976,부산,12,15,"5,770",2019년
5,CZ976,인천,12,16,"6,051",2019년
6,CZ976,대구,38,42,"16,167",2019년
7,CZ976,광주,33,36,"13,667",2019년
8,CZ976,대전,7,7,"2,848",2019년
9,CZ976,경기,89,112,"42,561",2019년
10,CZ976,강원,1,1,371,2019년
11,CZ976,충북,-,-,-,2019년
12,CZ976,충남,-,-,-,2019년
13,CZ976,전북,2,2,771,2019년
14,CZ976,전남,-,-,-,2019년
15,CZ976,경북,-,-,-,2019년
16,CZ976,경남,49,121,"46,803",2019년
17,CZ976,제주,-,-,-,2019년
2,CZ976,계,606,998,"385,539",2020년
3,CZ976,서울,386,688,"268,581",2020년
4,CZ976,부산,29,37,"14,502",2020년
5,CZ976,인천,17,21,"8,119",2020년
6,CZ976,대구,32,34,"13,305",2020년
7,CZ976,광주,24,27,"10,579",2020년
8,CZ976,대전,5,9,"3,516",2020년
9,CZ976,경기,59,101,"35,337",2020년
10,CZ976,강원,2,2,785,2020년
11,CZ976,충북,-,-,-,2020년
12,CZ976,충남,2,2,785,2020년
13,CZ976,전북,5,5,"1,962",2020년
14,CZ976,전남,-,-,-,2020년
15,CZ976,경북,-,-,-,2020년
16,CZ976,경남,44,71,"27,693",2020년
17,CZ976,제주,1,1,377,2020년
2,CZ976,계,697,998,"392,684",2021년
3,CZ976,서울,428,658,"258,998",2021년
4,CZ976,부산,23,23,"9,084",2021년
5,CZ976,인천,15,21,"8,168",2021년
6,CZ976,대구,41,42,"16,652",2021년
7,CZ976,광주,45,46,"18,496",2021년
8,CZ976,대전,6,14,"5,549",2021년
9,CZ976,경기,65,88,"33,603",2021년
10,CZ976,강원,1,1,398,2021년
11,CZ976,충북,7,7,"2,786",2021년
12,CZ976,충남,1,1,398,2021년
13,CZ976,전북,5,5,"1,978",2021년
14,CZ976,전남,1,1,398,2021년
15,CZ976,경북,-,-,-,2021년
16,CZ976,경남,61,91,"36,175",2021년
17,CZ976,제주,-,-,-,2021년
2,CZ976,계,148,221,"78,171",2014년
3,CZ976,서울,127,196,"69,412",2014년
4,CZ976,부산,5,5,"1,744",2014년
5,CZ976,인천,1,1,354,2014년
6,CZ976,대구,3,3,"1,063",2014년
7,CZ976,광주,2,2,708,2014년
8,CZ976,대전,-,-,-,2014년
9,CZ976,경기,8,11,"3,855",2014년
10,CZ976,강원,-,-,-,2014년
11,CZ976,충북,-,-,-,2014년
12,CZ976,충남,-,-,-,2014년
13,CZ976,전북,1,1,354,2014년
14,CZ976,전남,-,-,-,2014년
15,CZ976,경북,-,-,-,2014년
16,CZ976,경남,1,2,681,2014년
17,CZ976,제주,-,-,-,2014년
2,CZ976,계,312,594,"214,726",2015년
3,CZ976,서울,255,519,"187,744",2015년
4,CZ976,부산,9,12,"4,318",2015년
5,CZ976,인천,4,4,"1,435",2015년
6,CZ976,대구,7,7,"2,516",2015년
7,CZ976,광주,7,7,"2,516",2015년
8,CZ976,대전,-,-,-,2015년
9,CZ976,경기,27,38,"13,653",2015년
10,CZ976,강원,-,-,-,2015년
11,CZ976,충북,-,-,-,2015년
12,CZ976,충남,1,1,354,2015년
13,CZ976,전북,-,-,-,2015년
14,CZ976,전남,-,-,-,2015년
15,CZ976,경북,-,-,-,2015년
16,CZ976,경남,3,6,"2,189",2015년
17,CZ976,제주,-,-,-,2015년
2,CZ976,계,413,834,"304,827",2016년
3,CZ976,서울,326,732,"267,647",2016년
4,CZ976,부산,16,17,"6,175",2016년
5,CZ976,인천,1,1,366,2016년
6,CZ976,대구,11,11,"4,016",2016년
7,CZ976,광주,11,11,"4,021",2016년
8,CZ976,대전,1,1,351,2016년
9,CZ976,경기,31,38,"13,828",2016년
10,CZ976,강원,1,2,731,2016년
11,CZ976,충북,1,1,351,2016년
12,CZ976,충남,-,-,-,2016년
13,CZ976,전북,1,1,366,2016년
14,CZ976,전남,-,-,-,2016년
15,CZ976,경북,1,1,347,2016년
16,CZ976,경남,13,18,"6,628",2016년
17,CZ976,제주,-,-,-,2016년
2,CZ976,계,486,904,"335,961",2017년
3,CZ976,서울,347,724,"269,346",2017년
4,CZ976,부산,9,10,"3,715",2017년
5,CZ976,인천,13,18,"6,536",2017년
6,CZ976,대구,14,14,"5,204",2017년
7,CZ976,광주,29,29,"10,761",2017년
8,CZ976,대전,5,5,"1,783",2017년
9,CZ976,경기,48,70,"25,894",2017년
10,CZ976,강원,1,1,366,2017년
11,CZ976,충북,-,-,-,2017년
12,CZ976,충남,-,-,-,2017년
13,CZ976,전북,2,2,738,2017년
14,CZ976,전남,-,-,-,2017년
15,CZ976,경북,-,-,-,2017년
16,CZ976,경남,23,31,"11,618",2017년
17,CZ976,제주,-,-,-,2017년
2,CZ976,계,610,"1,072","404,840",2018년
3,CZ976,서울,410,784,"296,374",2018년
4,CZ976,부산,21,28,"10,564",2018년
5,CZ976,인천,14,25,"9,182",2018년
6,CZ976,대구,31,38,"14,348",2018년
7,CZ976,광주,31,35,"13,219",2018년
8,CZ976,대전,1,1,364,2018년
9,CZ976,경기,72,119,"44,457",2018년
10,CZ976,강원,-,-,-,2018년
11,CZ976,충북,1,1,364,2018년
12,CZ976,충남,1,1,372,2018년
13,CZ976,전북,3,3,"1,135",2018년
14,CZ976,전남,-,-,-,2018년
15,CZ976,경북,-,-,-,2018년
16,CZ976,경남,29,38,"14,461",2018년
17,CZ976,제주,-,-,-,2018년
2,CZ976,계,649,"1,107","425,875",2019년
3,CZ976,서울,406,756,"290,867",2019년
4,CZ976,부산,12,15,"5,770",2019년
5,CZ976,인천,12,16,"6,051",2019년
6,CZ976,대구,38,42,"16,167",2019년
7,CZ976,광주,33,36,"13,667",2019년
8,CZ976,대전,7,7,"2,848",2019년
9,CZ976,경기,89,112,"42,561",2019년
10,CZ976,강원,1,1,371,2019년
11,CZ976,충북,-,-,-,2019년
12,CZ976,충남,-,-,-,2019년
13,CZ976,전북,2,2,771,2019년
14,CZ976,전남,-,-,-,2019년
15,CZ976,경북,-,-,-,2019년
16,CZ976,경남,49,121,"46,803",2019년
17,CZ976,제주,-,-,-,2019년
2,CZ976,계,606,998,"385,539",2020년
3,CZ976,서울,386,688,"268,581",2020년
4,CZ976,부산,29,37,"14,502",2020년
5,CZ976,인천,17,21,"8,119",2020년
6,CZ976,대구,32,34,"13,305",2020년
7,CZ976,광주,24,27,"10,579",2020년
8,CZ976,대전,5,9,"3,516",2020년
9,CZ976,경기,59,101,"35,337",2020년
10,CZ976,강원,2,2,785,2020년
11,CZ976,충북,-,-,-,2020년
12,CZ976,충남,2,2,785,2020년
13,CZ976,전북,5,5,"1,962",2020년
14,CZ976,전남,-,-,-,2020년
15,CZ976,경북,-,-,-,2020년
16,CZ976,경남,44,71,"27,693",2020년
17,CZ976,제주,1,1,377,2020년
2,CZ976,계,697,998,"392,684",2021년
3,CZ976,서울,428,658,"258,998",2021년
4,CZ976,부산,23,23,"9,084",2021년
5,CZ976,인천,15,21,"8,168",2021년
6,CZ976,대구,41,42,"16,652",2021년
7,CZ976,광주,45,46,"18,496",2021년
8,CZ976,대전,6,14,"5,549",2021년
9,CZ976,경기,65,88,"33,603",2021년
10,CZ976,강원,1,1,398,2021년
11,CZ976,충북,7,7,"2,786",2021년
12,CZ976,충남,1,1,398,2021년
13,CZ976,전북,5,5,"1,978",2021년
14,CZ976,전남,1,1,398,2021년
15,CZ976,경북,-,-,-,2021년
16,CZ976,경남,61,91,"36,175",2021년
17,CZ976,제주,-,-,-,2021년
2,E0720,계,390,331,"151,007",2017년
3,E0720,서울,211,178,"83,819",2017년
4,E0720,부산,18,18,"7,096",2017년
5,E0720,인천,9,9,"3,665",2017년
6,E0720,대구,18,18,"8,563",2017년
7,E0720,광주,1,1,407,2017년
8,E0720,대전,2,2,783,2017년
9,E0720,경기,96,82,"34,849",2017년
10,E0720,강원,1,1,392,2017년
11,E0720,충북,-,-,-,2017년
12,E0720,충남,1,1,407,2017년
13,E0720,전북,1,1,529,2017년
14,E0720,전남,2,2,783,2017년
15,E0720,경북,-,-,-,2017년
16,E0720,경남,30,19,"9,713",2017년
17,E0720,세종,-,-,-,2017년
2,E0720,계,"1,121",965,"476,731",2018년
3,E0720,서울,643,554,"282,211",2018년
